E,S,T,candidate_distance_evaluations,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,coverage_distance_evaluations,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,rescued_observations,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
605,29790,9798,29790,0,0.0,0,True,14,14,605,188191,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.02044765800019377,True,0.4803343159992437,True,614,False,0,0,1.0,1.0,0.0,True,verified_hnsw_partial,193712128,2,0,run_00000.json,1,614,0.22302301400031865,0.7238049879997561,1,[]
529908,111836,907606,111598,0,0.32720375061035156,0,False,438,483,269724,18100064,True,mixture,0.9875233645730642,1.0,0.9875233645730642,False,False,True,inverted,0.9387226179997015,True,1.0302437870004724,True,5906,False,2298,0,1.0,0.9798657718120806,0.0,False,verified_hnsw_partial,399396864,2,238,run_00001.json,2,5906,17.396249223999803,19.365215628999977,1,[]
601,29797,9800,29795,0,0.0,12140000,True,9,9,601,184511,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.021274501999869244,True,0.47497127299993736,True,607,True,0,0,1.0,1.0,0.7406833159993766,True,verified_hnsw_complete,201052160,2,1,run_00002.json,2,607,0.21656296200035285,1.453492052999536,1,[]
601,29795,9799,,0,0.00037007307853165194,0,True,9,9,601,,False,curve,1.0,1.0,1.0,False,False,True,inverted,0.01987573699989298,True,0.47179924200008827,False,607,False,2,0,1.0,0.9999328791489076,0.11520292200020776,False,hnsw,192118784,1,,run_00003.json,2,608,0.14735559800010378,0.7542334990002928,1,[]
558534,112872,934006,110657,0,0.0,121800000,True,478,478,558534,19138093,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.8053394210000988,True,1.0272380230007911,True,6090,True,0,0,1.0,1.0,8.703242479999972,True,verified_hnsw_complete,378781696,1,211,run_00004.json,1,6090,17.460965246999876,27.996785171000738,1,[]
512562,103728,817532,103542,0,0.3387940376996994,0,False,532,571,285130,20135699,True,mixture,0.988860507470058,1.0,0.988860507470058,False,False,True,inverted,0.9074660699998276,True,1.0141569229999732,True,6264,False,1769,0,1.0,0.9832317506658957,0.0,False,verified_hnsw_partial,393097216,1,186,run_00005.json,0,6264,17.906826027000534,19.828449020000335,1,[]
590,29520,9524,29516,0,0.0055001292909894195,0,False,17,19,590,185081,True,curve,0.9966216216216216,1.0,0.9966216216216216,False,False,True,inverted,0.02027761499994085,True,0.4772100689997387,True,605,False,37,0,1.0,0.9987481814798524,0.0,False,verified_hnsw_partial,193843200,0,4,run_00006.json,0,605,0.2152908580001167,0.7127785419997963,1,[]
817477,107042,1096873,106413,0,1.1198536902666092,0,False,749,1839,78981,24704359,True,gaussian,0.9350566311392341,1.0,0.9350566311392341,False,False,True,sparse,1.112367744999574,True,1.3240664139993896,True,6747,False,7880,0,1.0,0.9314317537112128,0.0,False,verified_hnsw_partial,463904768,1,629,run_00007.json,0,6747,25.34853553299945,27.784969691998413,1,[]
884521,117314,1253171,,0,1.5031949952244759,0,False,526,1989,48439,,False,gaussian,0.9262766239301471,1.0,0.9262766239301471,False,False,True,sparse,1.195690776000447,True,1.3231784760000664,False,6055,False,10954,0,1.0,0.9146006798266131,4.798886113999288,False,hnsw,485646336,2,,run_00008.json,1,6419,12.632836494999538,19.95059186099934,1,[]
785627,106818,1040708,,0,1.1461875140666962,0,False,795,1867,78320,,False,gaussian,0.9352045511089102,1.0,0.9352045511089102,False,False,True,inverted,1.2705790479994903,True,1.3098407380002755,False,6868,False,7700,0,1.0,0.9327616619221433,5.337247520999881,False,hnsw,504381440,2,,run_00009.json,2,7156,13.852491798999836,21.770159105999483,1,[]
840059,114518,1150593,106818,0,0.0,137360000,True,795,795,840059,25326642,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.1181224369993288,True,1.30386654799986,True,6868,True,0,0,1.0,1.0,9.584737733999646,True,verified_hnsw_complete,472498176,1,550,run_00010.json,2,6868,24.838829784000154,36.84555650299899,1,[]
590,29516,9524,,0,0.013787814549037436,0,False,17,19,590,,False,curve,0.9966216216216216,1.0,0.9966216216216216,False,False,True,inverted,0.019753579000280297,True,0.46714490599970304,False,605,False,41,0,1.0,0.9986128497479446,0.11510356500002672,False,hnsw,191598592,2,,run_00011.json,0,606,0.14846152900008747,0.7504635790000975,1,[]
558534,112872,934006,110657,0,0.0,121800000,True,478,478,558534,19138093,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7757335989999774,True,1.0246050859996103,True,6090,True,0,0,1.0,1.0,8.181151170999328,True,verified_hnsw_complete,378814464,0,211,run_00012.json,1,6090,17.799140660000376,27.78063051599929,1,[]
558534,112872,934006,110657,0,0.0,121800000,True,478,478,558534,19138093,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.7904238430000987,True,1.0318643079999674,True,6090,True,0,0,1.0,1.0,7.941328427999906,True,verified_hnsw_complete,378437632,2,211,run_00013.json,1,6090,17.127535505000196,26.89115208400017,1,[]
590,29516,9524,,0,0.013787814549037436,0,False,17,19,590,,False,curve,0.9966216216216216,1.0,0.9966216216216216,False,False,True,inverted,0.019537438999577716,True,0.46902320200024405,False,605,False,41,0,1.0,0.9986128497479446,0.11628287100029411,False,hnsw,191623168,1,,run_00014.json,0,606,0.1489657950005494,0.7538093070006653,1,[]
590,29516,9524,,0,0.013787814549037436,0,False,17,19,590,,False,curve,0.9966216216216216,1.0,0.9966216216216216,False,False,True,sparse,0.017724315999657847,True,0.48498179400030494,False,605,False,41,0,1.0,0.9986128497479446,0.11673404999964987,False,hnsw,187113472,0,,run_00015.json,0,606,0.15155779700035055,0.7709979569999632,1,[]
605,29790,9798,,0,0.0,0,True,14,14,605,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.01841478200003621,True,0.48595600699991337,True,614,False,0,0,1.0,1.0,0.12030036300075153,True,hnsw,187052032,2,,run_00016.json,1,614,0.15108041300027253,0.7757515650009736,1,[]
601,29796,9799,29795,0,0.00013057032175506356,0,True,9,9,601,184511,True,curve,1.0,1.0,1.0,False,False,True,inverted,0.018085123000673775,True,0.47487694200026453,True,607,False,1,0,1.0,0.9999664395744539,0.0,False,verified_hnsw_partial,194027520,2,1,run_00017.json,2,607,0.2152104420001706,0.7081725070011089,1,[]
785836,107368,1041192,106818,0,1.1461875140666962,0,False,795,1761,85126,25326642,True,gaussian,0.9354533431580401,1.0,0.9354533431580401,False,False,True,inverted,1.2906930509998347,True,1.2937704199994187,True,6868,False,7150,0,1.0,0.9375644003562759,0.0,False,verified_hnsw_partial,506798080,2,550,run_00018.json,2,6868,25.338209644000017,27.92267311499927,1,[]
558534,112872,934006,110657,0,0.0,121800000,True,478,478,558534,19138093,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.9603095189995656,True,1.0370788949994676,True,6090,True,0,0,1.0,1.0,8.868098551000003,True,verified_hnsw_complete,409890816,0,211,run_00019.json,1,6090,17.026294118000806,27.89178108299984,1,[]
884521,117314,1253171,,0,1.5031949952244759,0,False,526,1989,48439,,False,gaussian,0.9262766239301471,1.0,0.9262766239301471,False,False,True,inverted,1.4896329759994842,True,1.3205802290003703,False,6055,False,10954,0,1.0,0.9146006798266131,4.784181693999926,False,hnsw,538443776,0,,run_00020.json,1,6419,12.788946456999838,20.38334135599962,1,[]
601,29797,9800,29795,0,0.0,12140000,True,9,9,601,184511,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.01819052999962878,True,0.4785443540004053,True,607,True,0,0,1.0,1.0,0.7825735180003903,True,verified_hnsw_complete,196743168,0,1,run_00021.json,2,607,0.21707627199975832,1.4963846740001827,1,[]
