E,S,T,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
358880,75908,414931,0,1.35086656610171,0,False,795,6280,747,False,gaussian,0.4272080889556567,1.0,0.4272080889556567,False,False,True,inverted,0.5462168060003023,True,0.039880797998193884,False,6868,False,38610,0,1.0,0.6628477619238897,0.37772388300072635,False,ivf,333185024,0,run_00000.json,2,7372,0.8513985160025186,1.8152200030017411,1,[]
511244,110609,869502,0,0.20873522758483887,0,False,438,928,322647,False,mixture,0.9527415985374662,1.0,0.9527415985374662,False,False,True,sparse,0.6811819629983802,True,0.03780921600264264,False,5906,False,3525,0,1.0,0.9691152504950321,0.3194825459977437,False,ivf,357384192,2,run_00001.json,2,5927,0.7122373929996684,1.750711117998435,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.018708142000832595,True,0.03788317799990182,True,607,False,0,0,1.0,1.0,0.044783981997170486,True,ivf,186200064,1,run_00002.json,2,607,0.0933149129996309,0.1946902149975358,1,[]
511244,110609,869502,0,0.20873522758483887,0,False,438,928,322647,False,mixture,0.9527415985374662,1.0,0.9527415985374662,False,False,True,sparse,0.664269314998819,True,0.037794758998643374,False,5906,False,3525,0,1.0,0.9691152504950321,0.3314285899978131,False,ivf,357203968,1,run_00003.json,2,5927,0.7041772119991947,1.7376698759944702,1,[]
605,29790,9798,0,0.0,0,True,14,14,605,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.018802149999828544,True,0.03719795899814926,True,614,False,0,0,1.0,1.0,0.04151265500331647,True,ivf,186200064,2,run_00004.json,1,614,0.08813711099719512,0.1856498749984894,1,[]
369614,75827,428652,0,1.5621558342661177,0,False,749,6180,711,False,gaussian,0.42277644711948703,1.0,0.42277644711948703,False,False,True,sparse,0.5074206509998476,True,0.03760828000304173,False,6747,False,39095,0,1.0,0.6598127425558205,0.3543671980005456,False,ivf,308690944,1,run_00005.json,0,7188,0.8343257169981371,1.733721846001572,1,[]
549782,111651,910113,0,0.1675530572732291,0,False,478,537,450131,False,mixture,0.9843304078176083,1.0,0.9843304078176083,False,False,True,sparse,0.7286197930006892,True,0.03616010699988692,False,6090,False,1221,0,1.0,0.9891824367425048,0.32855326600110857,False,ivf,370528256,2,run_00006.json,1,6107,0.7656125570028962,1.858945723004581,1,[]
358880,75908,414931,0,1.35086656610171,0,False,795,6280,747,False,gaussian,0.4272080889556567,1.0,0.4272080889556567,False,False,True,inverted,0.5392757680019713,True,0.03737542700037011,False,6868,False,38610,0,1.0,0.6628477619238897,0.374997250000888,False,ivf,332935168,2,run_00007.json,2,7372,0.8530978319977294,1.8047462770009588,1,[]
409022,83046,490045,0,1.4777582883834839,0,False,526,5626,536,False,gaussian,0.4283307205517525,1.0,0.4283307205517525,False,False,True,inverted,0.6148906369999168,True,0.03898556400235975,False,6055,False,45222,0,1.0,0.6474412947890354,0.3312646689992107,False,ivf,350728192,0,run_00008.json,1,6493,0.7585662000019511,1.7437070700034383,1,[]
601,29797,9800,0,0.0,0,True,9,9,601,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.019676501000503777,True,0.03788192000138224,True,607,False,0,0,1.0,1.0,0.04208305299835047,True,ivf,186200064,1,run_00009.json,2,607,0.08834510000087903,0.18798657400111551,1,[]
