E,S,T,candidate_distance_evaluations,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,coverage_distance_evaluations,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,rescued_observations,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
558534,112872,934006,,0,0.0,0,True,478,478,558534,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.8723430990000338,True,0.015301324000006389,True,6090,False,0,0,1.0,1.0,0.8955282269999998,True,flat_scalar,401432576,2,,run_00000.json,1,6090,1.106243629000005,2.889416279000045,1,[]
592,29557,9561,29557,0,0.0,12100000,True,17,17,592,182710,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.01659636199997294,True,0.4370042710000348,True,605,True,0,0,1.0,1.0,0.7557535050000297,True,verified_hnsw_complete,196939776,0,0,run_00001.json,0,605,0.22843776299998808,1.4377919010000255,1,[]
558534,112872,934006,0,0,0.0,121800000,True,478,478,558534,63642275,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.8463839519999965,True,3.2819999660205212e-06,True,6090,True,0,0,1.0,1.0,7.377656403999993,True,verified_none_complete,380964864,1,13910,run_00002.json,1,6090,34.17185145600001,42.39589509399997,1,[]
954921,128268,1419251,,0,0.0,0,True,526,526,954921,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.2594979030000104,True,0.01158634399996572,True,6055,False,0,0,1.0,1.0,8.99785118699998,True,ckdtree_inflated,492670976,2,,run_00003.json,1,6055,9.26189457199996,19.530830005999917,1,[]
592,29557,9561,,0,0.0,0,True,17,17,592,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.01840907899998001,True,0.0016260969999848385,True,605,False,0,0,1.0,1.0,3.2651142300000515,True,brute_force,187047936,2,,run_00004.json,0,605,3.2867185129999825,6.571867918999999,1,[]
343009,83358,474831,,0,0.474259568999211,0,False,532,4714,3812,,False,mixture,0.6617502932460798,1.0,0.6617502932460798,False,False,True,inverted,0.5101114070000108,True,0.040826967999976205,False,6264,False,22139,0,1.0,0.7901456913466733,0.22308555900002602,False,ivf,318914560,1,,run_00005.json,0,6520,0.6253871140000342,1.3994110480000472,1,[]
592,29557,9561,0,0,0.0,12100000,True,17,17,592,11253106,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.016958498999997573,True,2.864000009594747e-06,True,605,True,0,0,1.0,1.0,0.6805097260000252,True,verified_none_complete,187047936,0,19395,run_00006.json,0,605,1.423014668999997,2.1204857580000294,1,[]
874254,114922,1219045,,0,0.0,0,True,749,749,874254,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.1058556649999787,True,0.04080371100002367,True,6747,False,0,0,1.0,1.0,4.1390874669999675,True,ball_tree,465539072,2,,run_00007.json,0,6747,4.959983326999975,10.245730169999945,1,[]
518336,105497,836791,,0,0.0,0,True,532,532,518336,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.7891850590000331,True,0.04001923299995269,True,6264,False,0,0,1.0,1.0,1.0064250249999986,True,ball_tree,375783424,0,,run_00008.json,0,6264,1.7249353600000177,3.560564677000002,1,[]
840059,114518,1150593,,0,0.0,0,True,795,795,840059,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.0054997140000523,True,0.0013869499999827894,True,6868,False,0,0,1.0,1.0,36.53941010300002,True,brute_force,454324224,0,,run_00009.json,2,6868,31.772334427000033,69.31863119400009,1,[]
536603,114134,934543,113678,0,0.0,118120000,True,438,438,536603,17724107,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.8268615869999394,True,0.9405809179999096,True,5906,True,0,0,1.0,1.0,8.37008795700001,True,verified_hnsw_complete,402984960,2,91,run_00010.json,2,5906,19.73555370600002,29.873084167999878,1,[]
840059,114518,1150593,,0,0.0,0,True,795,795,840059,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.01619446899997,True,0.0020058600000538718,True,6868,False,0,0,1.0,1.0,31.018058832000065,True,brute_force,453992448,2,,run_00011.json,2,6868,32.97939290700003,65.01565206800012,1,[]
840059,114518,1150593,,0,0.0,0,True,795,795,840059,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.1184962969999788,True,0.00856443300006049,True,6868,False,0,0,1.0,1.0,4.495651498000029,True,ckdtree,453345280,1,,run_00012.json,2,6868,4.752488042999971,10.37520027100004,1,[]
605,29790,9798,,0,0.0,0,True,14,14,605,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.01894892899997558,True,0.002003575000003366,True,614,False,0,0,1.0,1.0,2.6457788310000296,True,brute_force,187047936,2,,run_00013.json,1,614,2.759236703000056,5.4259680380000646,1,[]
592,29557,9561,,0,0.0,0,True,17,17,592,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.016946471999972346,True,0.009541338999952131,True,605,False,0,0,1.0,1.0,0.05027480900002956,True,ckdtree_inflated,187047936,0,,run_00014.json,0,605,0.08545760699996663,0.16222022699992067,1,[]
558534,112872,934006,,0,0.0,0,True,478,478,558534,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.859348319999981,True,0.008371125999929063,True,6090,False,0,0,1.0,1.0,1.070844045000058,True,ckdtree,389218304,1,,run_00015.json,1,6090,1.385173074000022,3.32373656499999,1,[]
0,20000,0,0,0,1.0238800203358687,0,False,532,6264,0,64776440,True,mixture,0.0,1.0,0.0,False,False,True,sparse,0.06132124999999178,True,3.282000079707359e-06,True,6264,False,85497,0,1.0,0.1895788505834289,0.0,False,verified_none_partial,187047936,2,13736,run_00016.json,0,6264,34.345522637000045,34.406847169000116,1,[]
536603,114134,934543,113678,0,0.0,118120000,True,438,438,536603,17724107,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.6560464140000022,True,0.9482869269999128,True,5906,True,0,0,1.0,1.0,7.237320332999957,True,verified_hnsw_complete,371691520,0,91,run_00017.json,2,5906,19.537780622000014,28.379434295999886,1,[]
874254,114922,1219045,,0,0.0,0,True,749,749,874254,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,1.1652507510000305,True,0.0401519609999923,True,6747,False,0,0,1.0,1.0,4.131381378000015,True,ball_tree,465133568,0,,run_00018.json,0,6747,4.925717848999966,10.262501939000003,1,[]
518336,105497,836791,,0,0.0,0,True,532,532,518336,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.7708437779999713,True,0.00892508499998712,True,6264,False,0,0,1.0,1.0,0.9021140600000308,True,flat_scalar,387883008,1,,run_00019.json,0,6264,1.1150245420000147,2.796907465000004,1,[]
874254,114922,1219045,112095,0,0.0,134940000,True,749,749,874254,23929736,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,1.2878462620000164,True,1.2098981829999502,True,6747,True,0,0,1.0,1.0,7.961773077999965,True,verified_hnsw_complete,537608192,2,364,run_00020.json,0,6747,33.03007451799999,43.48959204099992,1,[]
558534,112872,934006,,0,0.0,0,True,478,478,558534,,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.6946116899999879,True,0.009121213000071293,True,6090,False,0,0,1.0,1.0,0.8945460109999885,True,flat_scalar,372768768,2,,run_00021.json,1,6090,1.104519067999945,2.7027979819999928,1,[]
343009,83358,474831,,0,0.474259568999211,0,False,532,4714,3812,,False,mixture,0.6617502932460798,1.0,0.6617502932460798,False,False,True,sparse,0.45247919899998124,True,0.035750110999970275,False,6264,False,22139,0,1.0,0.7901456913466733,0.22081719899995278,False,ivf,300912640,0,,run_00022.json,0,6520,0.6284682990000192,1.3375148079999235,1,[]
864139,112095,1192190,,0,0.7710670828819275,0,False,749,868,301708,,False,gaussian,0.9884301358644055,1.0,0.9884301358644055,False,False,True,sparse,1.0364731049999136,True,1.213661581999986,False,6747,False,2827,0,1.0,0.9754007065661927,19.375356479999937,False,hnsw,479764480,2,,run_00023.json,0,6990,21.018179314999998,42.643670481999834,1,[]
518336,105497,836791,105169,0,0.0,125280000,True,532,532,518336,19834732,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.7778477880001446,True,0.9501288799999656,True,6264,True,0,0,1.0,1.0,7.223870484999907,True,verified_hnsw_complete,395898880,2,75,run_00024.json,0,6264,20.80033008800001,29.752177241000027,1,[]
189473,58141,213007,,0,1.6059436053037643,0,False,526,6010,49,,False,gaussian,0.19841746071140964,1.0,0.19841746071140964,False,False,True,inverted,0.3102094240000497,True,0.03555220599992026,False,6055,False,70127,0,1.0,0.4532775127077681,0.2269582939998145,False,ivf,264634368,1,,run_00025.json,1,7155,0.7017783510000299,1.2744982749998144,1,[]
0,20000,0,0,0,2.8728722544277416,0,False,795,6868,0,68123509,True,gaussian,0.0,1.0,0.0,False,False,True,inverted,0.017821966000155953,True,2.3749998945277184e-06,True,6868,False,94518,0,1.0,0.1746450339684591,0.0,False,verified_none_partial,187047936,2,13132,run_00026.json,2,6868,35.53265870300015,35.5504830440002,1,[]
517872,105244,835017,105169,0,0.12529019142190614,0,False,532,538,463519,19834732,True,mixture,0.9991048277565131,1.0,0.9991048277565131,False,False,True,inverted,0.7695934440000656,True,0.9323318039998867,True,6264,False,253,0,1.0,0.9976018275401196,0.0,False,verified_hnsw_partial,395423744,1,75,run_00027.json,0,6264,21.062277402000063,22.764202650000016,1,[]
536603,114134,934543,,0,0.0,0,True,438,438,536603,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.8076876310001353,True,0.0028910720000112633,True,5906,False,0,0,1.0,1.0,27.148216775000037,True,brute_force,381775872,1,,run_00028.json,2,5906,28.172430130000066,56.13122560800025,1,[]
518336,105497,836791,,0,0.0,0,True,532,532,518336,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.7955443739999737,True,0.011149550000027375,True,6264,False,0,0,1.0,1.0,2.5245194979997905,True,ckdtree_inflated,375918592,2,,run_00029.json,0,6264,2.8421904130000257,6.173403834999817,1,[]
