E,S,T,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
47729,25712,131272,0,0.0,0,True,43,43,47729,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.08444299499387853,True,0.001528047003375832,True,1082,False,0,0,1.0,1.0,0.04107429199939361,True,flat_batch,179224576,0,run_00000.json,0,1082,0.10466414599795826,0.23170947999460623,1,[]
87079,27180,167314,0,0.0,0,True,71,71,87079,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.11739249699894572,True,0.001488517998950556,True,1224,False,0,0,1.0,1.0,0.0727733640014776,True,flat_scalar,186769408,0,run_00001.json,0,1224,0.11692239800322568,0.30857677700259956,1,[]
149,7460,2460,0,0.0,0,True,6,6,149,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.00504641800216632,True,0.0013788669966743328,True,155,False,0,0,1.0,1.0,0.009833517004153691,True,flat_scalar,158289920,0,run_00002.json,0,155,0.01790041099593509,0.034159212998929434,1,[]
149,7460,2460,0,0.0,0,True,6,6,149,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.00579399400157854,True,0.0014427019996219315,True,155,False,0,0,1.0,1.0,0.00978672400378855,True,flat_scalar,158359552,0,run_00003.json,0,155,0.017816601997765247,0.03484002200275427,1,[]
149,7460,2460,0,0.0,0,True,6,6,149,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.004838851004024036,True,0.0016757599951233715,True,155,False,0,0,1.0,1.0,0.006912215001648292,True,flat_batch,158289920,0,run_00004.json,0,155,0.018127114002709277,0.03155394000350498,1,[]
87079,27180,167314,0,0.0,0,True,71,71,87079,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.13931895200221334,True,0.00135616899933666,True,1224,False,0,0,1.0,1.0,0.0720899020016077,True,flat_scalar,192221184,0,run_00005.json,0,1224,0.11895497500518104,0.33171999800833873,1,[]
87079,27180,167314,0,0.0,0,True,71,71,87079,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.16048491100082174,True,0.001614230997802224,True,1224,False,0,0,1.0,1.0,0.04657649200089509,True,flat_batch,192393216,0,run_00006.json,0,1224,0.12574231599865016,0.3344179499981692,1,[]
87079,27180,167314,0,0.0,0,True,71,71,87079,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.12056299100368051,True,0.001353165993350558,True,1224,False,0,0,1.0,1.0,0.04783237000083318,True,flat_batch,187154432,0,run_00007.json,0,1224,0.12004512199928286,0.2897936489971471,1,[]
47729,25712,131272,0,0.0,0,True,43,43,47729,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.07812715199543163,True,0.0012448429988580756,True,1082,False,0,0,1.0,1.0,0.07523602199944435,True,flat_scalar,174596096,0,run_00008.json,0,1082,0.11943638999946415,0.2740444069931982,1,[]
47729,25712,131272,0,0.0,0,True,43,43,47729,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.0786591300056898,True,0.0012567860030685551,True,1082,False,0,0,1.0,1.0,0.04614641299849609,True,flat_batch,174592000,0,run_00009.json,0,1082,0.11631827700330177,0.24238060601055622,1,[]
47729,25712,131272,0,0.0,0,True,43,43,47729,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.08652418400015449,True,0.0014100159969530068,True,1082,False,0,0,1.0,1.0,0.07326204200217035,True,flat_scalar,178831360,0,run_00010.json,0,1082,0.11935300000186544,0.2805492420011433,1,[]
149,7460,2460,0,0.0,0,True,6,6,149,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.0062963590025901794,True,0.0013917180040152743,True,155,False,0,0,1.0,1.0,0.006534726002428215,True,flat_batch,158289920,0,run_00011.json,0,155,0.017846493996330537,0.032069297005364206,1,[]
