E,S,T,candidate_distance_evaluations,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,coverage_distance_evaluations,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,rescued_observations,result_file,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads,validation_failures
87012,27090,166692,,0,0.0833030353699411,0,False,71,72,78489,,False,gaussian,0.9992305837228264,1.0,0.9992305837228264,False,False,True,sparse,0.11613632299849996,True,0.19815151100192452,False,1224,False,90,0,1.0,0.9966887417218543,0.7858035339959315,False,hnsw,188784640,0,,run_00000.json,0,1233,0.8578741279998212,1.9579654959961772,1,[]
87079,27180,167314,0,0,0.0,6120000,True,71,71,87079,3578212,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.12906550399929984,True,3.3530013752169907e-06,True,1224,True,0,0,1.0,1.0,1.4350079700016067,True,verified_none_complete,188092416,0,3776,run_00001.json,0,1224,0.4098487709998153,1.973925598002097,1,[]
0,5000,0,0,0,2.0026400188604994,0,False,71,1224,0,3578212,True,gaussian,0.0,1.0,0.0,False,False,True,sparse,0.014852551998046692,True,3.3519972930662334e-06,True,1224,False,22180,0,1.0,0.18395879323031641,0.0,False,verified_none_partial,158416896,0,3776,run_00002.json,0,1224,0.4175571730011143,0.43241307699645404,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.005424642004072666,True,0.10802195799624315,True,155,False,0,0,1.0,1.0,0.0403079770039767,True,hnsw,162672640,0,,run_00003.json,0,155,0.04384790400217753,0.19760248100647004,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.005549030996917281,True,0.0001774019983713515,True,155,False,0,0,1.0,1.0,0.22643186799541581,True,brute_force,158416896,0,,run_00004.json,0,155,0.2399839459976647,0.47214224698836915,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.12164594900241354,True,0.008724447005079128,True,1224,False,0,0,1.0,1.0,0.1361183390035876,True,ball_tree,184524800,0,,run_00005.json,0,1224,0.27621228600037284,0.5427010210114531,1,[]
47729,25709,131257,25707,0,0.004437320034504921,0,True,43,43,47639,586115,True,mixture,1.0,1.0,1.0,False,False,True,sparse,0.07333317900338443,True,0.1398630219991901,True,1082,False,3,0,1.0,0.9998833229620411,0.0,False,verified_hnsw_partial,176361472,0,2,run_00006.json,0,1082,0.6688844579985016,0.8820806590010761,1,[]
0,5000,0,0,0,2.0026400188604994,0,False,71,1224,0,3578212,True,gaussian,0.0,1.0,0.0,False,False,True,inverted,0.006426887004636228,True,2.44499824475497e-06,True,1224,False,22180,0,1.0,0.18395879323031641,0.0,False,verified_none_partial,158416896,0,3776,run_00007.json,0,1224,0.42065044999617385,0.42707978199905483,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.0048233600027742796,True,0.008926009999413509,True,155,False,0,0,1.0,1.0,0.009554806994856335,True,ball_tree,158416896,0,,run_00008.json,0,155,0.02911232200131053,0.052416498998354655,1,[]
47729,25712,131272,25707,0,0.0,5410000,True,43,43,47729,586115,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.0851656059967354,True,0.1435291700036032,True,1082,True,0,0,1.0,1.0,0.2832273630046984,True,verified_hnsw_complete,181022720,0,2,run_00009.json,0,1082,0.6368836059991736,1.1488057450042106,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.14602791200013598,True,0.0016402630062657408,True,1224,False,0,0,1.0,1.0,0.07471742699999595,True,flat_scalar,191926272,0,,run_00010.json,0,1224,0.12045091599429725,0.3428365180006949,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.08172895399911795,True,0.0017175790053443052,True,1082,False,0,0,1.0,1.0,0.10769078500015894,True,ckdtree_inflated,176324608,0,,run_00011.json,0,1082,0.164975316998607,0.3561126350032282,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.00591654000163544,True,0.008975383003416937,True,155,False,0,0,1.0,1.0,0.005475202000525314,True,ivf,159412224,0,,run_00012.json,0,155,0.01978735900047468,0.04015448400605237,1,[]
87012,27090,166692,,0,0.0833030353699411,0,False,71,72,78489,,False,gaussian,0.9992305837228264,1.0,0.9992305837228264,False,False,True,inverted,0.14460661500197602,True,0.20905215499806218,False,1224,False,90,0,1.0,0.9966887417218543,0.8354547240014654,False,hnsw,193310720,0,,run_00013.json,0,1233,0.8992058360017836,2.088319330003287,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.1405681270043715,True,0.0017445379999116994,True,1224,False,0,0,1.0,1.0,0.05074713599606184,True,flat_batch,192233472,0,,run_00014.json,0,1224,0.12727100699703442,0.32033080799737945,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.006352286996843759,True,0.00171534300170606,True,155,False,0,0,1.0,1.0,0.012640387998544611,True,ckdtree,158416896,0,,run_00015.json,0,155,0.02360789800150087,0.0443159159985953,1,[]
47729,25712,131272,25707,0,0.0,5410000,True,43,43,47729,586115,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.07415079399652313,True,0.1802740929997526,True,1082,True,0,0,1.0,1.0,0.2757639250048669,True,verified_hnsw_complete,176435200,0,2,run_00016.json,0,1082,0.6733599489962216,1.2035487609973643,1,[]
26451,13972,34226,,0,1.5475959777832031,0,False,71,1218,6,,False,gaussian,0.3037586559331182,1.0,0.3037586559331182,False,False,True,inverted,0.050019907001114916,True,0.010084970999741927,False,1224,False,13208,0,1.0,0.5140544518027962,0.034420137002598494,False,ivf,170422272,0,,run_00017.json,0,1447,0.15366557300148997,0.2481905880049453,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.07578900700173108,True,0.0016183999978238717,True,1082,False,0,0,1.0,1.0,0.04180672000074992,True,flat_batch,174284800,0,,run_00018.json,0,1082,0.11318906199448975,0.23240318899479462,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.07479219699598616,True,0.0014659329972346313,True,1082,False,0,0,1.0,1.0,0.06014215799950762,True,ckdtree,172023808,0,,run_00019.json,0,1082,0.11806862200319301,0.2544689099959214,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.11868510700151091,True,0.0015154520006035455,True,1224,False,0,0,1.0,1.0,0.07535784700303338,True,flat_scalar,187281408,0,,run_00020.json,0,1224,0.12975017900316743,0.3253085850083153,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.004955843003699556,True,0.00146223100455245,True,155,False,0,0,1.0,1.0,0.010778924995975103,True,ckdtree,158416896,0,,run_00021.json,0,155,0.02048918299988145,0.03768618200410856,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.1117297780001536,True,0.001872558001196012,True,1224,False,0,0,1.0,1.0,0.14825928900245344,True,ckdtree,184565760,0,,run_00022.json,0,1224,0.22489929699804634,0.4867609220018494,1,[]
87079,27180,167314,0,0,0.0,6120000,True,71,71,87079,3578212,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.10766377599793486,True,2.863002009689808e-06,True,1224,True,0,0,1.0,1.0,1.3969312629997148,True,verified_none_complete,183140352,0,3776,run_00023.json,0,1224,0.3999960090004606,1.90459391100012,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.005189814000914339,True,0.0018347719960729592,True,155,False,0,0,1.0,1.0,0.015162118994339835,True,ckdtree_inflated,158416896,0,,run_00024.json,0,155,0.025897596002323553,0.048084300993650686,1,[]
149,7460,2460,0,0,0.0,775000,True,6,6,149,721291,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.006530867001856677,True,3.3519972930662334e-06,True,155,True,0,0,1.0,1.0,0.23492367300059414,True,verified_none_complete,158416896,0,4845,run_00025.json,0,155,0.1652295719977701,0.406687463997514,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.12132779599778587,True,0.0018054379979730584,True,1224,False,0,0,1.0,1.0,0.3443785810013651,True,ckdtree_inflated,184418304,0,,run_00026.json,0,1224,0.42298476499854587,0.8904965799956699,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.08539880200260086,True,0.00162880499556195,True,1082,False,0,0,1.0,1.0,0.06581172600272112,True,flat_scalar,178896896,0,,run_00027.json,0,1082,0.10772253100003581,0.26056186400091974,1,[]
0,5000,0,0,0,0.7672421038150787,0,False,43,1082,0,3209390,True,mixture,0.0,1.0,0.0,False,False,True,sparse,0.012357571999018546,True,4.330999217927456e-06,True,1082,False,20712,0,1.0,0.19446172993154948,0.0,False,verified_none_partial,158416896,0,3918,run_00028.json,0,1082,0.38842472699616337,0.40078662999439985,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.07647781600098824,True,0.000674750997859519,True,1082,False,0,0,1.0,1.0,1.5205783970013727,True,brute_force,171077632,0,,run_00029.json,0,1082,1.5856907350025722,3.1834216990027926,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.005682830000296235,True,0.0015615450029144995,True,155,False,0,0,1.0,1.0,0.006801641997299157,True,flat_batch,158416896,0,,run_00030.json,0,155,0.019118212003377266,0.03316422900388716,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.080967927002348,True,0.001735245001327712,True,1082,False,0,0,1.0,1.0,0.12159011200128589,True,ckdtree_inflated,172531712,0,,run_00031.json,0,1082,0.1678894689976005,0.3721827530025621,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.10186921299464302,True,0.002174276000005193,True,1082,False,0,0,1.0,1.0,0.061136754004110117,True,ckdtree,176066560,0,,run_00032.json,0,1082,0.1248766880016774,0.2900569310004357,1,[]
47729,25707,131255,,0,0.02440429322469312,0,True,43,43,47534,,False,mixture,1.0,1.0,1.0,False,False,True,inverted,0.0900253240033635,True,0.14162036099878605,False,1082,False,5,0,1.0,0.9998055382700685,0.46138221300498117,False,hnsw,181190656,0,,run_00033.json,0,1083,0.4994105750010931,1.1924384730082238,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.1388245280031697,True,0.0018510429945308715,True,1224,False,0,0,1.0,1.0,0.3483339939994039,True,ckdtree_inflated,189607936,0,,run_00034.json,0,1224,0.4376562190009281,0.9266657839980326,1,[]
37528,20881,78996,,0,0.5050322413444519,0,False,43,703,763,,False,mixture,0.7862724968048775,1.0,0.7862724968048775,False,False,True,sparse,0.06200277499738149,True,0.010553033003816381,False,1082,False,4831,0,1.0,0.8121110765401369,0.026962730000377633,False,ivf,172199936,0,,run_00035.json,0,1143,0.10820481100381585,0.20772334900539136,1,[]
0,5000,0,0,0,0.034712576866149814,0,False,6,155,0,721291,True,curve,0.0,1.0,0.0,False,False,True,inverted,0.004901634994894266,True,3.2130046747624874e-06,True,155,False,2460,0,1.0,0.6702412868632708,0.0,False,verified_none_partial,158416896,0,4845,run_00036.json,0,155,0.14535779699508566,0.1502626449946547,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.004929081995214801,True,0.0012809860054403543,True,155,False,0,0,1.0,1.0,0.010727496999606956,True,flat_scalar,158416896,0,,run_00037.json,0,155,0.01874425799906021,0.03568182299932232,1,[]
47729,25707,131255,,0,0.02440429322469312,0,True,43,43,47534,,False,mixture,1.0,1.0,1.0,False,False,True,sparse,0.0736633529959363,True,0.1464455069944961,False,1082,False,5,0,1.0,0.9998055382700685,0.4469330869978876,False,hnsw,175476736,0,,run_00038.json,0,1083,0.4935245040032896,1.1605664509916096,1,[]
47729,25712,131272,0,0,0.0,5410000,True,43,43,47729,3209390,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.0741528670041589,True,3.282002580817789e-06,True,1082,True,0,0,1.0,1.0,1.3278883480015793,True,verified_none_complete,170659840,0,3918,run_00039.json,0,1082,0.3863082169991685,1.7883527140074875,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.1323772430041572,True,0.0014553130022250116,True,1224,False,0,0,1.0,1.0,0.05278783000539988,True,flat_batch,187289600,0,,run_00040.json,0,1224,0.12808639199647587,0.31470677800825797,1,[]
149,7460,2460,7460,0,0.0,775000,True,6,6,149,11935,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.0062602120015071705,True,0.1164219359998242,True,155,True,0,0,1.0,1.0,0.0425685060035903,True,verified_hnsw_complete,162078720,0,0,run_00041.json,0,155,0.06814518599276198,0.23339583999768365,1,[]
47729,25709,131257,25707,0,0.004437320034504921,0,True,43,43,47639,586115,True,mixture,1.0,1.0,1.0,False,False,True,inverted,0.09668675099965185,True,0.1453373729964369,True,1082,False,3,0,1.0,0.9998833229620411,0.0,False,verified_hnsw_partial,181170176,0,2,run_00042.json,0,1082,0.6507995930005563,0.8928237169966451,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.12693182200018782,True,0.00012683500244747847,True,1224,False,0,0,1.0,1.0,1.6938670829986222,True,brute_force,183537664,0,,run_00043.json,0,1224,1.7367242250038544,3.557649965005112,1,[]
149,7460,2460,7460,0,0.0,0,True,6,6,149,11935,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.005639098002575338,True,0.10513774699938949,True,155,False,0,0,1.0,1.0,0.0,True,verified_hnsw_partial,160858112,0,0,run_00044.json,0,155,0.057963835999544244,0.16874068100150907,1,[]
87013,27107,166702,27090,0,0.046152739643390006,0,False,71,72,79831,761489,True,gaussian,0.9992420675478588,1.0,0.9992420675478588,False,False,True,sparse,0.12268060600035824,True,0.20616293700004462,True,1224,False,73,0,1.0,0.9973142016188373,0.0,False,verified_hnsw_partial,188461056,0,17,run_00045.json,0,1224,1.024230085000454,1.3530736280008568,1,[]
0,5000,0,0,0,0.034712576866149814,0,False,6,155,0,721291,True,curve,0.0,1.0,0.0,False,False,True,sparse,0.004260262998286635,True,2.793000021483749e-06,True,155,False,2460,0,1.0,0.6702412868632708,0.0,False,verified_none_partial,158416896,0,4845,run_00046.json,0,155,0.14306200400460511,0.14732506000291323,1,[]
149,7460,2460,7460,0,0.0,775000,True,6,6,149,11935,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.0062861889964551665,True,0.1070821339963004,True,155,True,0,0,1.0,1.0,0.04100853500131052,True,verified_hnsw_complete,161878016,0,0,run_00047.json,0,155,0.06082268799946178,0.21519954599352786,1,[]
149,7460,2460,7460,0,0.0,0,True,6,6,149,11935,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.005299030999594834,True,0.10888742299721343,True,155,False,0,0,1.0,1.0,0.0,True,verified_hnsw_partial,159944704,0,0,run_00048.json,0,155,0.06077170000207843,0.1749581539988867,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.07776357299735537,True,0.00886617500509601,True,1082,False,0,0,1.0,1.0,0.03812710200145375,True,ball_tree,171761664,0,,run_00049.json,0,1082,0.16179328799626091,0.28655013800016604,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.13524985199910589,True,0.008835653003188781,True,1224,False,0,0,1.0,1.0,0.13189475500257686,True,ball_tree,189747200,0,,run_00050.json,0,1224,0.2843613859949983,0.5603416459998698,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.005726885996409692,True,0.0013594170013675466,True,155,False,0,0,1.0,1.0,0.010553082000114955,True,flat_scalar,158707712,0,,run_00051.json,0,155,0.018050548998871818,0.03568993399676401,1,[]
37528,20881,78996,,0,0.5050322413444519,0,False,43,703,763,,False,mixture,0.7862724968048775,1.0,0.7862724968048775,False,False,True,inverted,0.06610751299740514,True,0.008798146001936402,False,1082,False,4831,0,1.0,0.8121110765401369,0.02661988800537074,False,ivf,175607808,0,,run_00052.json,0,1143,0.1047567479981808,0.20628229500289308,1,[]
87079,27180,167314,27090,0,0.0,6120000,True,71,71,87079,761489,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.1421733739989577,True,0.20745262999844272,True,1224,True,0,0,1.0,1.0,0.3149788949958747,True,verified_hnsw_complete,194740224,0,17,run_00053.json,0,1224,1.0173688709983253,1.6819737699916004,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,sparse,0.0764574690037989,True,0.0013490099954651669,True,1082,False,0,0,1.0,1.0,0.06423270900268108,True,flat_scalar,174977024,0,,run_00054.json,0,1082,0.1043466740011354,0.24638586200308055,1,[]
87079,27180,167314,,0,0.0,0,True,71,71,87079,,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.14458505999937188,True,0.0007542300008935854,True,1224,False,0,0,1.0,1.0,1.5776861620033742,True,brute_force,189304832,0,,run_00055.json,0,1224,1.6515997189999325,3.374625171003572,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.0057333779986947775,True,0.0013937789990450256,True,155,False,0,0,1.0,1.0,0.008054735997575335,True,flat_batch,158703616,0,,run_00056.json,0,155,0.01858127000014065,0.03376316299545579,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.08916437999869231,True,0.00016811100067570806,True,1082,False,0,0,1.0,1.0,1.3785145100046066,True,brute_force,175910912,0,,run_00057.json,0,1082,1.5363081190007506,3.004155120004725,1,[]
87013,27107,166702,27090,0,0.046152739643390006,0,False,71,72,79831,761489,True,gaussian,0.9992420675478588,1.0,0.9992420675478588,False,False,True,inverted,0.14321203200233867,True,0.19915314299578313,True,1224,False,73,0,1.0,0.9973142016188373,0.0,False,verified_hnsw_partial,194367488,0,17,run_00058.json,0,1224,1.044436725002015,1.3868019000001368,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.00564928499807138,True,0.010697573998186272,True,155,False,0,0,1.0,1.0,0.004859155000303872,True,ivf,158605312,0,,run_00059.json,0,155,0.017687555999145843,0.03889356999570737,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.005664579999574926,True,0.008088465998298489,True,155,False,0,0,1.0,1.0,0.009568080000462942,True,ball_tree,158416896,0,,run_00060.json,0,155,0.029226801998447627,0.05254792799678398,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.005447577997983899,True,0.00018389600154478103,True,155,False,0,0,1.0,1.0,0.228154573997017,True,brute_force,158416896,0,,run_00061.json,0,155,0.23938895700121066,0.47317500499775633,1,[]
149,7460,2460,,0,0.0,0,True,6,6,149,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.006165838996821549,True,0.0019226250005885959,True,155,False,0,0,1.0,1.0,0.01545175399951404,True,ckdtree_inflated,158416896,0,,run_00062.json,0,155,0.02542945899767801,0.048969676994602196,1,[]
26451,13972,34226,,0,1.5475959777832031,0,False,71,1218,6,,False,gaussian,0.3037586559331182,1.0,0.3037586559331182,False,False,True,sparse,0.049844383996969555,True,0.010274396001477726,False,1224,False,13208,0,1.0,0.5140544518027962,0.028906289997394197,False,ivf,167845888,0,,run_00063.json,0,1447,0.12857696800347185,0.21760203799931332,1,[]
47729,25712,131272,,0,0.0,0,True,43,43,47729,,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.08778367799823172,True,0.00142178399983095,True,1082,False,0,0,1.0,1.0,0.04223405700031435,True,flat_batch,178405376,0,,run_00064.json,0,1082,0.10518348000186961,0.23662299900024664,1,[]
87079,27180,167314,27090,0,0.0,6120000,True,71,71,87079,761489,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.1192078429958201,True,0.19483437899907585,True,1224,True,0,0,1.0,1.0,0.3063218910028809,True,verified_hnsw_complete,188960768,0,17,run_00065.json,0,1224,1.0165821450063959,1.6369462580041727,1,[]
149,7460,2460,0,0,0.0,775000,True,6,6,149,721291,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.005373612999392208,True,2.9330039978958666e-06,True,155,True,0,0,1.0,1.0,0.03911027000140166,True,verified_none_complete,158416896,0,4845,run_00066.json,0,155,0.14185314499627566,0.18633996100106742,1,[]
0,5000,0,0,0,0.7672421038150787,0,False,43,1082,0,3209390,True,mixture,0.0,1.0,0.0,False,False,True,inverted,0.005162758003280032,True,2.863002009689808e-06,True,1082,False,20712,0,1.0,0.19446172993154948,0.0,False,verified_none_partial,158416896,0,3918,run_00067.json,0,1082,0.37865443299961044,0.38382005400490016,1,[]
