E,S,T,candidate_distance_evaluations,color_bound_violations,color_max_error,completion_distance_evaluations,component_certified,component_exact_components,component_protected_components,component_protected_edges,coverage_distance_evaluations,covers_all_observations,dataset,edge_jaccard,edge_precision,edge_recall,exact_output_match,fixed_cover_equal,gate_passed,graph_method,graph_seconds,graph_witness_counts_equal,index_seconds,landmark_sequence_equal,m,membership_completion_requested,membership_false_negatives,membership_false_positives,membership_precision,membership_recall,membership_seconds,memberships_complete,method,pipeline_peak_rss_bytes,repeat,rescued_observations,seed,selected_landmark_count,selection_seconds,staged_total_seconds,threads
46,238,61,,0,0.2116823731099858,0,False,15,42,11,,False,gaussian,0.4742268041237113,1.0,0.4742268041237113,False,False,True,sparse,0.0024557279975851998,True,0.005084036001790082,False,53,False,128,0,1.0,0.6502732240437158,0.00119395500223618,False,hnsw,158986240,0,,0,67,0.004779314000188606,0.013513033001800068,1
97,366,238,0,0,0.0,10600,True,15,15,97,6613,True,gaussian,1.0,1.0,1.0,True,True,True,inverted,0.0008329400006914511,True,3.2819989428389817e-06,True,53,True,0,0,1.0,1.0,0.001514252999186283,True,verified_none_complete,158121984,0,147,0,53,0.005299219003063627,0.0076496940018842,1
0,200,0,0,0,0.5917653540770212,0,False,15,53,0,6613,True,gaussian,0.0,1.0,0.0,False,False,True,sparse,0.004583195001032436,True,4.329998773755506e-06,True,53,False,166,0,1.0,0.546448087431694,0.0,False,verified_none_partial,158121984,0,147,0,53,0.007380032999208197,0.011967557999014389,1
9,190,18,,0,0.043498885225165984,0,False,4,22,2,,False,curve,0.45,1.0,0.45,False,False,True,inverted,0.0008520760020473972,True,0.0057443930018052924,False,24,False,82,0,1.0,0.6985294117647058,0.0011965390003751963,False,hnsw,159002624,0,,0,35,0.0051828609975927975,0.012975869001820683,1
20,272,72,,0,0.0,0,True,4,4,20,,True,curve,1.0,1.0,1.0,True,True,True,inverted,0.0009821230014495086,True,7.354400077019818e-05,True,24,False,0,0,1.0,1.0,0.000621667000814341,True,brute_force,158121984,0,,0,24,0.0028689840000879485,0.004546318003121996,1
97,366,238,,0,0.0,0,True,15,15,97,,True,gaussian,1.0,1.0,1.0,True,True,True,sparse,0.004455522001080681,True,0.006236291003006045,True,53,False,0,0,1.0,1.0,0.0008154099996318109,True,ball_tree,158142464,0,,0,53,0.012758726999891223,0.02426595000360976,1
78,310,137,293,0,0.12580189108848572,0,False,12,34,20,1805,True,mixture,0.7722772277227723,1.0,0.7722772277227723,False,False,True,sparse,0.005136414001754019,True,0.005561614001635462,True,51,False,87,0,1.0,0.7808564231738035,0.0,False,verified_hnsw_partial,159514624,0,17,0,51,0.011986899000476114,0.022684927003865596,1
0,200,0,0,0,0.5917653540770212,0,False,15,53,0,6613,True,gaussian,0.0,1.0,0.0,False,False,True,inverted,0.0009062739991350099,True,4.748999344883487e-06,True,53,False,166,0,1.0,0.546448087431694,0.0,False,verified_none_partial,158121984,0,147,0,53,0.007258711997565115,0.008169734996045008,1
20,272,72,,0,0.0,0,True,4,4,20,,True,curve,1.0,1.0,1.0,True,True,True,sparse,0.0029221320000942796,True,0.005822053997690091,True,24,False,0,0,1.0,1.0,0.0004445349986781366,True,ball_tree,158224384,0,,0,24,0.005171000000700587,0.014359720997163095,1
101,397,316,293,0,0.0,10200,True,12,12,101,1805,True,mixture,1.0,1.0,1.0,True,True,True,inverted,0.0008203479992516804,True,0.003340409999509575,True,51,True,0,0,1.0,1.0,0.0011696910005412064,True,verified_hnsw_complete,158892032,0,17,0,51,0.007516882000345504,0.012847330999647966,1
